Date : 2024-07-31 07:53:45
Directory : /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src
Total : 58 files,  3451 codes, 25 comments, 355 blanks, all 3831 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/index.css                                 | CSS            |         12 |          0 |          2 |         14 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/index.js                                  | JavaScript     |         17 |          3 |          3 |         23 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/logo.svg                                  | XML            |          1 |          0 |          0 |          1 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blog/index.css                      | CSS            |         18 |          0 |          3 |         21 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blog/index.jsx                      | JavaScript JSX |         89 |          0 |         10 |         99 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blogs/index.css                     | CSS            |         13 |          0 |          2 |         15 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Blogs/index.jsx                     | JavaScript JSX |         88 |          0 |         14 |        102 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Categories/index.css                | CSS            |          4 |          0 |          1 |          5 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Categories/index.jsx                | JavaScript JSX |         81 |          0 |         11 |         92 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Home/index.jsx                      | JavaScript JSX |         72 |          0 |         10 |         82 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Login/index.css                     | CSS            |         14 |          0 |          2 |         16 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Login/index.jsx                     | JavaScript JSX |         95 |          0 |         13 |        108 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Profile/index.jsx                   | JavaScript JSX |         82 |          0 |         12 |         94 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Register/index.css                  | CSS            |         14 |          0 |          2 |         16 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/pages/Register/index.jsx                  | JavaScript JSX |        130 |          0 |         10 |        140 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/reportWebVitals.js                        | JavaScript     |         12 |          0 |          2 |         14 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/authService.js                   | JavaScript     |         76 |          0 |         10 |         86 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/blogsService.js                  | JavaScript     |        141 |          0 |          9 |        150 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/services/categoryService.js               | JavaScript     |         92 |          0 |          6 |         98 |
| /Users/byron/DevitTechnology/Projects/iX/blog-app/frontend/src/setupTests.js                             | JavaScript     |          1 |          4 |          1 |          6 |
| Total                                                                                                    |                |      3,451 |         25 |        355 |      3,831 |
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
